code,link,name,level
2565_2_Q1_01,https://drive.google.com/file/d/13yV-9L1WZIbXhRva2IoDF_BxYCrykC7h/view?usp=sharing,Decryption,2.0
2565_2_Q1_02,https://drive.google.com/file/d/1Kx2j8XuotCYUap1uBYRM5UWArRnfnSv0/view?usp=sharing,AQI,1.5
2565_2_Q1_03,https://drive.google.com/file/d/1saNRhE1lTJyWSRQTbPN6nIesX0kRGOx1/view?usp=sharing,Flowchart,1.0
2565_2_Q2_01,https://drive.google.com/file/d/1amVihMObcBwSYfZxmxeAXNxFKbRssTFi/view?usp=sharing,Small Lot First,2.0
2565_2_Q2_02,https://drive.google.com/file/d/16Gvn09eigAaaOKhbSdg5DJ9Bx_W5tTHV/view?usp=sharing,Matching Rule,3.0
2565_2_Q2_03,https://drive.google.com/file/d/1Zd8MrUHO1P-jSGC2izMmDDlxk3BqJw1O/view?usp=sharing,Complex Replace,3.0
2565_2_Q3_01,https://drive.google.com/file/d/17qHF6-icxbhkcdWW6TGm4iqUiztbMpTy/view?usp=sharing,Stock Investment,3.0
2565_2_Q3_02,https://drive.google.com/file/d/18G-CQOFTieLXVpGkQaB3E-3rvsJKQNLY/view?usp=sharing,Seating Map,1.5
2565_2_Q3_03,https://drive.google.com/file/d/1t8fcO-p0KzRPTC2RCLjLlpF3ABoSXFk9/view?usp=sharing,CUENG Sport 2023,3.0
