code,link,name,level
2566_3_Q1_01,https://drive.google.com/file/d/1EzqYAfhvcaWUq-5EzXJwyZBHy3k4C9CK/view?usp=sharing,Longest Repeating Characters,1.5
2566_3_Q2_01,https://drive.google.com/file/d/1cBzc4kXgbFXzY45q16TeEZBRyL9_7gH3/view?usp=sharing,Euro 2024,2.0
2566_3_Q2_02,https://drive.google.com/file/d/1bA-H_dW0TDJnl-Opur5J89TMTQz0h42Z/view?usp=sharing,Euro 2024 Sub-routing,2.5
2566_3_Q3_01,https://drive.google.com/file/d/19hJN0aOKbgJV4HOnwSkB2eyQrlpN-r_q/view?usp=sharing,Customized Grading,2.0
2566_3_Q3_02,https://drive.google.com/file/d/1e3KDAFFtn3tNY_MHorr3GtRUzFQd2ddP/view?usp=sharing,RSP Team,2.5
